reviews,label
아 더빙.. 진짜 짜증나네요 목소리,0
흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나,1
너무재밓었다그래서보는것을추천한다,0
교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정,0
사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1
막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화.ㅋㅋㅋ...별반개도 아까움.,0
원작의 긴장감을 제대로 살려내지못했다.,0
별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네,0
액션이 없는데도 재미 있는 몇안되는 영화,1
왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?,1
걍인피니트가짱이다.진짜짱이다♥,1
볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~,1
울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해,0
담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을.,1
취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지,0
ㄱ냥 매번 긴장되고 재밋음ㅠㅠ,1
참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다,1
굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐,0
이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥,1
"약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요.",1
나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님,1
보면서 웃지 않는 건 불가능하다,1
"재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데  이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ",0
절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다.,1
주제는 좋은데 중반부터 지루하다,0
다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..,0
kl2g 고추를 털어버려야 할텐데,1
카밀라벨 발연기,0
재밋는뎅,1
센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점..,1
엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!,1
졸쓰레기 진부하고말도안됌ㅋㅋ 아..시간아까워,0
재밌는데 별점이 왜이리 낮은고,1
1%라도 기대했던 내가 죄인입니다 죄인입니다....,0
아직도 이 드라마는 내인생의 최고!,1
패션에 대한 열정! 안나 윈투어!,1
키이라 나이틀리가 연기하고자 했던건 대체 정신장애일까 틱장애일까,0
허허...원작가 정신나간 유령이라... 재미있겠네요!,1
포스터는 있어보이는데 관객은 114명이네,0
이 영화가 왜 이렇게 저평가 받는지 모르겠다,1
단순하면서 은은한 매력의 영화,1
'다 알바생인가 내용도 없고 무서운거도 없고 웃긴거도 하나도 없음 완전 별싱거운 영화.ㅇ.ㅇ내ㅇ시간 넘 아까움 .. . 완전 낚임,0
오게두어라! 서리한이 굶주렸다!,1
정말 맘에 들어요. 그래서 또 보고싶은데 또 보는 방법이 없네? >.. ㅜㅡ,1
윤제문이라는 멋진 배우를 발견하게 됐어요. 소소한 일탈이 잔잔한 미소를 머금게 합니다. 음악은 조금 아쉽네요ㅠㅠ 8점 주고 싶은데 평점 올리고 싶어 10점 줄게요^^,1
평점에속지마시길시간낭비 돈낭비임,0
리얼리티가 뛰어나긴 한데 큰 공감은 안간다. 이민기캐릭터는 정신의학상 분노조절장애 초기 증상일거다. 툭하면 사람패고 욕하고 물건 파손하고.. 조금 오바였음. 극 초반엔 신선했는데 가면 갈수록 이민기 정신상태 공감불가.,0
마이너스는 왜없냐 ㅋ 뮤비 보고 영화수준 딱 알만하더군 ㅉㅉ 북한에서 이런거 만들라고 돈 대주던?,0
난 우리영화를 사랑합니다....^^,0
"데너리스 타르 가르엔...나도 용의주인이 되고 싶다...누이랑,근친상간이나 하고 다닐지라도,소설 속에선 제일 멋진 놈이 자이메 라니스터였는데,드라마속에선,드래곤(용)이 제일 멋지네(웃음)감독님 토르-2 다크 월드는 말아 잡수셨을지라도,기본 선방은 했음",1
영화가 사람의 영혼을 어루만져 줄 수도 있군요 거친 세상사를 잠시 잊고 동화같은 영화에 행복했네요,1
야 세르게이! 작은고추의 매운맛을 보여주마! 포퐁저그 콩진호가 간다,0
이렇게 가슴시리게 본 드라마가 또 있을까? 감동 그 자체!,1
"난또 저 꼬마애가 무슨 원한이 깊길래.,. 했더니 OO 그냥 혼자 나대다 OO걸 어쩌라고.",0
재미있어요,1
전 좋아요,1
최고,0
너무 충격적이엇다. 기분을 완전히 푹 꺼지게 하는 느낌... 활력이라고는 하나도 없는 너무나도 무거운....지독하고 차갑고 무자비하다. 그저 일본인들의 상상력은 정말 대단한거 같다는 생각이 든다.,1
심심한영화.,0
백봉기 언제나오나요?,1
보는내내 그대로 들어맞는 예측 카리스마 없는 악역,0
불알이 나와서 당황...아무튼 영화가 중간에 끝나는 느낌,0
평범함속에 녹아든 평범한 일상. 조금 밋밋한게 흠.,0
보던거라 계속보고있는데 전개도 느리고 주인공인 은희는 한두컷 나오면서 소극적인모습에 짜증이 ㅜㅜ 맨날 언제끝나나 기대만하고있어요 전개좀 빨리빨리 ㅜㅜ,0
"사랑하고싶게하는,가슴속온감정을헤집어놓는영화예요정말최고.",1
"많은 사람들이 이 다큐를 보고 우리나라 슬픈 현대사의 한 단면에 대해 깊이 생각하고 사죄하고 바로 잡기 위해 노력했으면 합니다. 말로만 듣던 보도연맹, 그 민간인 학살이 이정도 일 줄이야. 이건 명백한 살인입니다. 살인자들은 다 어디있나요?",1
"예전 작품 캐릭터, 에피소드 재탕 삼탕 사골우려먹듯 우리고 내용은 산으로 가고 시청률은 아예안나오고 이제 70회중반인데 120부작이라니 ...",0
김남길의 백점짜리 연기력과 초반 몰입도에도 불구하고 지루하고 손예진 ㅈㅈ,0
재밌네 비슷한 영화를 안보신 분들한테는 재미있을 듯,1
노래실력으로뽑는게 맞냐? 박시환이 mama나가면 진짜 망신이다,0
아 일본영화 다이런건가?? 유치하다,0
이틀만에 다 봤어요 재밌어요 근데 차 안에 물건 넣어 조작하려고 하면 차 안이 열려있다던지 집 안이 활짝 열려서 아무나 들어간다던가 문자를 조작하려고하면 비번이 안 걸려있고 ㅋㅋㅋ 그런 건 억지스러웠는데 그래도 내용 자체는 좋았어요,1
졸작,0
